tanggal,nama_stasiun,penumpang_berangkat_komuter,penumpang_datang_komuter
2024-01-01 06:00,CICAYUR,363,207
2024-01-01 07:00,CICAYUR,484,282
2024-01-01 08:00,CICAYUR,271,205
2024-01-01 09:00,CICAYUR,109,101
2024-01-01 16:00,CICAYUR,207,340
2024-01-01 17:00,CICAYUR,215,417
2024-01-01 18:00,CICAYUR,138,209
2024-01-01 19:00,CICAYUR,45,83
2024-01-02 06:00,CICAYUR,379,211
2024-01-02 07:00,CICAYUR,474,295
2024-01-02 08:00,CICAYUR,333,234
2024-01-02 09:00,CICAYUR,126,101
2024-01-02 16:00,CICAYUR,212,398
2024-01-02 17:00,CICAYUR,244,421
2024-01-02 18:00,CICAYUR,138,226
2024-01-02 19:00,CICAYUR,55,94
2024-01-03 06:00,CICAYUR,314,211
2024-01-03 07:00,CICAYUR,493,305
2024-01-03 08:00,CICAYUR,272,205
2024-01-03 09:00,CICAYUR,127,91
2024-01-03 16:00,CICAYUR,171,325
2024-01-03 17:00,CICAYUR,207,418
2024-01-03 18:00,CICAYUR,112,244
2024-01-03 19:00,CICAYUR,45,94
2024-01-04 06:00,CICAYUR,386,175
2024-01-04 07:00,CICAYUR,521,313
2024-01-04 08:00,CICAYUR,344,270
2024-01-04 09:00,CICAYUR,131,109
2024-01-04 16:00,CICAYUR,178,307
2024-01-04 17:00,CICAYUR,219,366
2024-01-04 18:00,CICAYUR,123,225
2024-01-04 19:00,CICAYUR,56,92
2024-01-05 06:00,CICAYUR,336,187
2024-01-05 07:00,CICAYUR,385,301
2024-01-05 08:00,CICAYUR,251,264
2024-01-05 09:00,CICAYUR,130,84
2024-01-05 16:00,CICAYUR,163,353
2024-01-05 17:00,CICAYUR,255,394
2024-01-05 18:00,CICAYUR,130,201
2024-01-05 19:00,CICAYUR,46,81
2024-01-06 06:00,CICAYUR,767,382
2024-01-06 07:00,CICAYUR,788,481
2024-01-06 08:00,CICAYUR,522,437
2024-01-06 09:00,CICAYUR,246,192
2024-01-06 16:00,CICAYUR,412,640
2024-01-06 17:00,CICAYUR,409,785
2024-01-06 18:00,CICAYUR,249,469
2024-01-06 19:00,CICAYUR,100,184
2024-01-07 06:00,CICAYUR,243,121
2024-01-07 07:00,CICAYUR,248,164
2024-01-07 08:00,CICAYUR,166,162
2024-01-07 09:00,CICAYUR,76,62
2024-01-07 16:00,CICAYUR,144,201
2024-01-07 17:00,CICAYUR,156,267
2024-01-07 18:00,CICAYUR,74,136
2024-01-07 19:00,CICAYUR,30,56
2024-01-08 06:00,CICAYUR,426,218
2024-01-08 07:00,CICAYUR,471,332
2024-01-08 08:00,CICAYUR,329,226
2024-01-08 09:00,CICAYUR,141,101
2024-01-08 16:00,CICAYUR,220,390
2024-01-08 17:00,CICAYUR,238,352
2024-01-08 18:00,CICAYUR,115,244
2024-01-08 19:00,CICAYUR,55,110
2024-01-09 06:00,CICAYUR,312,189
2024-01-09 07:00,CICAYUR,428,259
2024-01-09 08:00,CICAYUR,260,224
2024-01-09 09:00,CICAYUR,138,89
2024-01-09 16:00,CICAYUR,196,350
2024-01-09 17:00,CICAYUR,234,430
2024-01-09 18:00,CICAYUR,139,218
2024-01-09 19:00,CICAYUR,49,89
2024-01-10 06:00,CICAYUR,333,158
2024-01-10 07:00,CICAYUR,441,275
2024-01-10 08:00,CICAYUR,246,214
2024-01-10 09:00,CICAYUR,133,84
2024-01-10 16:00,CICAYUR,169,319
2024-01-10 17:00,CICAYUR,272,338
2024-01-10 18:00,CICAYUR,125,247
2024-01-10 19:00,CICAYUR,44,98
2024-01-11 06:00,CICAYUR,356,203
2024-01-11 07:00,CICAYUR,462,295
2024-01-11 08:00,CICAYUR,260,268
2024-01-11 09:00,CICAYUR,117,88
2024-01-11 16:00,CICAYUR,170,350
2024-01-11 17:00,CICAYUR,260,333
2024-01-11 18:00,CICAYUR,124,224
2024-01-11 19:00,CICAYUR,52,88
2024-01-12 06:00,CICAYUR,367,172
2024-01-12 07:00,CICAYUR,470,238
2024-01-12 08:00,CICAYUR,264,197
2024-01-12 09:00,CICAYUR,130,99
2024-01-12 16:00,CICAYUR,171,326
2024-01-12 17:00,CICAYUR,253,362
2024-01-12 18:00,CICAYUR,117,205
2024-01-12 19:00,CICAYUR,41,100
2024-01-13 06:00,CICAYUR,369,176
2024-01-13 07:00,CICAYUR,376,242
2024-01-13 08:00,CICAYUR,282,236
2024-01-13 09:00,CICAYUR,123,91
2024-01-13 16:00,CICAYUR,183,259
2024-01-13 17:00,CICAYUR,197,378
2024-01-13 18:00,CICAYUR,113,180
2024-01-13 19:00,CICAYUR,39,89
2024-01-14 06:00,CICAYUR,221,122
2024-01-14 07:00,CICAYUR,316,215
2024-01-14 08:00,CICAYUR,217,155
2024-01-14 09:00,CICAYUR,92,62
2024-01-14 16:00,CICAYUR,131,255
2024-01-14 17:00,CICAYUR,181,300
2024-01-14 18:00,CICAYUR,91,173
2024-01-14 19:00,CICAYUR,30,65
2024-01-15 06:00,CICAYUR,349,179
2024-01-15 07:00,CICAYUR,515,281
2024-01-15 08:00,CICAYUR,336,251
2024-01-15 09:00,CICAYUR,136,97
2024-01-15 16:00,CICAYUR,205,338
2024-01-15 17:00,CICAYUR,228,413
2024-01-15 18:00,CICAYUR,117,207
2024-01-15 19:00,CICAYUR,52,87
2024-01-16 06:00,CICAYUR,408,205
2024-01-16 07:00,CICAYUR,486,260
2024-01-16 08:00,CICAYUR,246,254
2024-01-16 09:00,CICAYUR,117,103
2024-01-16 16:00,CICAYUR,219,349
2024-01-16 17:00,CICAYUR,225,348
2024-01-16 18:00,CICAYUR,133,213
2024-01-16 19:00,CICAYUR,43,92
2024-01-17 06:00,CICAYUR,395,189
2024-01-17 07:00,CICAYUR,428,236
2024-01-17 08:00,CICAYUR,289,256
2024-01-17 09:00,CICAYUR,104,90
2024-01-17 16:00,CICAYUR,208,336
2024-01-17 17:00,CICAYUR,247,379
2024-01-17 18:00,CICAYUR,112,210
2024-01-17 19:00,CICAYUR,51,98
2024-01-18 06:00,CICAYUR,415,213
2024-01-18 07:00,CICAYUR,450,285
2024-01-18 08:00,CICAYUR,326,248
2024-01-18 09:00,CICAYUR,132,103
2024-01-18 16:00,CICAYUR,223,316
2024-01-18 17:00,CICAYUR,240,333
2024-01-18 18:00,CICAYUR,128,204
2024-01-18 19:00,CICAYUR,49,96
2024-01-19 06:00,CICAYUR,293,161
2024-01-19 07:00,CICAYUR,323,202
2024-01-19 08:00,CICAYUR,275,187
2024-01-19 09:00,CICAYUR,93,79
2024-01-19 16:00,CICAYUR,181,250
2024-01-19 17:00,CICAYUR,216,274
2024-01-19 18:00,CICAYUR,90,197
2024-01-19 19:00,CICAYUR,42,81
2024-01-20 06:00,CICAYUR,352,197
2024-01-20 07:00,CICAYUR,397,245
2024-01-20 08:00,CICAYUR,287,200
2024-01-20 09:00,CICAYUR,108,75
2024-01-20 16:00,CICAYUR,151,343
2024-01-20 17:00,CICAYUR,242,365
2024-01-20 18:00,CICAYUR,107,194
2024-01-20 19:00,CICAYUR,39,80
2024-01-21 06:00,CICAYUR,235,127
2024-01-21 07:00,CICAYUR,291,167
2024-01-21 08:00,CICAYUR,210,160
2024-01-21 09:00,CICAYUR,78,62
2024-01-21 16:00,CICAYUR,120,193
2024-01-21 17:00,CICAYUR,148,257
2024-01-21 18:00,CICAYUR,66,132
2024-01-21 19:00,CICAYUR,27,51
2024-01-22 06:00,CICAYUR,417,204
2024-01-22 07:00,CICAYUR,449,253
2024-01-22 08:00,CICAYUR,301,238
2024-01-22 09:00,CICAYUR,113,94
2024-01-22 16:00,CICAYUR,195,348
2024-01-22 17:00,CICAYUR,261,331
2024-01-22 18:00,CICAYUR,121,249
2024-01-22 19:00,CICAYUR,50,106
2024-01-23 06:00,CICAYUR,368,161
2024-01-23 07:00,CICAYUR,368,281
2024-01-23 08:00,CICAYUR,241,230
2024-01-23 09:00,CICAYUR,133,92
2024-01-23 16:00,CICAYUR,181,327
2024-01-23 17:00,CICAYUR,231,364
2024-01-23 18:00,CICAYUR,133,217
2024-01-23 19:00,CICAYUR,53,101
2024-01-24 06:00,CICAYUR,312,153
2024-01-24 07:00,CICAYUR,363,226
2024-01-24 08:00,CICAYUR,241,232
2024-01-24 09:00,CICAYUR,100,83
2024-01-24 16:00,CICAYUR,202,264
2024-01-24 17:00,CICAYUR,251,329
2024-01-24 18:00,CICAYUR,101,233
2024-01-24 19:00,CICAYUR,48,98
2024-01-25 06:00,CICAYUR,378,202
2024-01-25 07:00,CICAYUR,396,251
2024-01-25 08:00,CICAYUR,304,253
2024-01-25 09:00,CICAYUR,135,90
2024-01-25 16:00,CICAYUR,181,351
2024-01-25 17:00,CICAYUR,224,418
2024-01-25 18:00,CICAYUR,130,227
2024-01-25 19:00,CICAYUR,51,100
2024-01-26 06:00,CICAYUR,302,196
2024-01-26 07:00,CICAYUR,412,289
2024-01-26 08:00,CICAYUR,260,245
2024-01-26 09:00,CICAYUR,111,75
2024-01-26 16:00,CICAYUR,205,269
2024-01-26 17:00,CICAYUR,216,398
2024-01-26 18:00,CICAYUR,130,224
2024-01-26 19:00,CICAYUR,48,86
2024-01-27 06:00,CICAYUR,269,144
2024-01-27 07:00,CICAYUR,363,244
2024-01-27 08:00,CICAYUR,250,206
2024-01-27 09:00,CICAYUR,84,76
2024-01-27 16:00,CICAYUR,133,269
2024-01-27 17:00,CICAYUR,188,338
2024-01-27 18:00,CICAYUR,91,167
2024-01-27 19:00,CICAYUR,34,82
2024-01-28 06:00,CICAYUR,236,108
2024-01-28 07:00,CICAYUR,239,195
2024-01-28 08:00,CICAYUR,159,168
2024-01-28 09:00,CICAYUR,81,54
