tanggal,nama_stasiun,penumpang_berangkat_komuter,penumpang_datang_komuter
2026-06-05,TIGARAKSA,395,34
2026-06-05,TIGARAKSA,390,50
2026-06-05,TIGARAKSA,271,46
2026-06-05,TIGARAKSA,117,17
2026-06-05,TIGARAKSA,167,73
2026-06-05,TIGARAKSA,273,81
2026-06-05,TIGARAKSA,113,41
2026-06-05,TIGARAKSA,51,18
2026-06-05,TANAHABANG,421,1492
2026-06-05,TANAHABANG,575,2300
2026-06-05,TANAHABANG,326,2028
2026-06-05,TANAHABANG,130,874
2026-06-05,TANAHABANG,258,2908
2026-06-05,TANAHABANG,276,2785
2026-06-05,TANAHABANG,137,1898
2026-06-05,TANAHABANG,62,834
2026-06-05,TENJO,304,17
2026-06-05,TENJO,372,26
2026-06-05,TENJO,299,26
2026-06-05,TENJO,115,11
2026-06-05,TENJO,150,34
2026-06-05,TENJO,215,36
2026-06-05,TENJO,98,23
2026-06-05,TENJO,50,9
2026-06-05,SERPONG,360,137
2026-06-05,SERPONG,379,204
2026-06-05,SERPONG,263,165
2026-06-05,SERPONG,119,64
2026-06-05,SERPONG,193,215
2026-06-05,SERPONG,258,227
2026-06-05,SERPONG,109,141
2026-06-05,SERPONG,51,71
2026-06-05,SUDIMARA,1363,98
2026-06-05,SUDIMARA,1395,181
2026-06-05,SUDIMARA,900,129
2026-06-05,SUDIMARA,447,61
2026-06-05,SUDIMARA,655,186
2026-06-05,SUDIMARA,1005,223
2026-06-05,SUDIMARA,492,149
2026-06-05,SUDIMARA,192,58
2026-06-05,RAWA BUNTU,1286,301
2026-06-05,RAWA BUNTU,1258,486
2026-06-05,RAWA BUNTU,1053,422
2026-06-05,RAWA BUNTU,396,140
2026-06-05,RAWA BUNTU,689,627
2026-06-05,RAWA BUNTU,778,637
2026-06-05,RAWA BUNTU,423,416
2026-06-05,RAWA BUNTU,165,173
2026-06-05,RANGKASBITUNG,308,97
2026-06-05,RANGKASBITUNG,432,150
2026-06-05,RANGKASBITUNG,304,137
2026-06-05,RANGKASBITUNG,119,45
2026-06-05,RANGKASBITUNG,192,179
2026-06-05,RANGKASBITUNG,248,179
2026-06-05,RANGKASBITUNG,135,129
2026-06-05,RANGKASBITUNG,48,50
2026-06-05,PARUNGPANJANG,982,89
2026-06-05,PARUNGPANJANG,1226,142
2026-06-05,PARUNGPANJANG,855,96
2026-06-05,PARUNGPANJANG,296,45
2026-06-05,PARUNGPANJANG,495,131
2026-06-05,PARUNGPANJANG,599,147
2026-06-05,PARUNGPANJANG,299,113
2026-06-05,PARUNGPANJANG,119,41
2026-06-05,PALMERAH,259,869
2026-06-05,PALMERAH,302,1434
2026-06-05,PALMERAH,165,1244
2026-06-05,PALMERAH,78,487
2026-06-05,PALMERAH,117,1474
2026-06-05,PALMERAH,164,1910
2026-06-05,PALMERAH,85,1206
2026-06-05,PALMERAH,27,443
2026-06-05,PONDOKRANJI,555,119
2026-06-05,PONDOKRANJI,697,169
2026-06-05,PONDOKRANJI,391,115
2026-06-05,PONDOKRANJI,183,53
2026-06-05,PONDOKRANJI,308,177
2026-06-05,PONDOKRANJI,316,233
2026-06-05,PONDOKRANJI,155,149
2026-06-05,PONDOKRANJI,58,60
2026-06-05,MAJA,281,28
2026-06-05,MAJA,357,44
2026-06-05,MAJA,247,33
2026-06-05,MAJA,115,17
2026-06-05,MAJA,181,59
2026-06-05,MAJA,173,52
2026-06-05,MAJA,97,42
2026-06-05,MAJA,46,14
2026-06-05,KEBAYORAN,417,794
2026-06-05,KEBAYORAN,405,1213
2026-06-05,KEBAYORAN,304,921
2026-06-05,KEBAYORAN,108,404
2026-06-05,KEBAYORAN,208,1230
2026-06-05,KEBAYORAN,218,1314
2026-06-05,KEBAYORAN,117,987
2026-06-05,KEBAYORAN,47,377
2026-06-05,JATAKE,91,7
2026-06-05,JATAKE,110,12
2026-06-05,JATAKE,74,9
2026-06-05,JATAKE,38,4
2026-06-05,JATAKE,55,14
2026-06-05,JATAKE,59,16
2026-06-05,JATAKE,35,8
2026-06-05,JATAKE,15,4
2026-06-05,JURANGMANGU,610,139
2026-06-05,JURANGMANGU,675,218
2026-06-05,JURANGMANGU,414,179
2026-06-05,JURANGMANGU,184,72
2026-06-05,JURANGMANGU,301,254
2026-06-05,JURANGMANGU,421,309
2026-06-05,JURANGMANGU,193,216
2026-06-05,JURANGMANGU,83,70
2026-06-05,DARU,349,21
2026-06-05,DARU,379,30
2026-06-05,DARU,268,24
2026-06-05,DARU,98,10
2026-06-05,DARU,143,42
2026-06-05,DARU,195,46
2026-06-05,DARU,96,28
2026-06-05,DARU,44,11
2026-06-05,CITERAS,55,14
2026-06-05,CITERAS,60,23
2026-06-05,CITERAS,41,18
2026-06-05,CITERAS,17,7
2026-06-05,CITERAS,29,22
2026-06-05,CITERAS,31,29
2026-06-05,CITERAS,18,17
2026-06-05,CITERAS,8,7
2026-06-05,CISAUK,783,234
2026-06-05,CISAUK,822,331
2026-06-05,CISAUK,535,324
2026-06-05,CISAUK,253,112
2026-06-05,CISAUK,419,362
2026-06-05,CISAUK,504,477
2026-06-05,CISAUK,241,309
2026-06-05,CISAUK,111,130
2026-06-05,CIKOYA,127,6
2026-06-05,CIKOYA,130,9
2026-06-05,CIKOYA,85,7
2026-06-05,CIKOYA,39,3
2026-06-05,CIKOYA,63,11
2026-06-05,CIKOYA,69,14
2026-06-05,CIKOYA,36,9
2026-06-05,CIKOYA,14,3
2026-06-05,CILEJIT,277,11
2026-06-05,CILEJIT,268,14
2026-06-05,CILEJIT,191,14
2026-06-05,CILEJIT,74,5
2026-06-05,CILEJIT,130,20
2026-06-05,CILEJIT,148,18
2026-06-05,CILEJIT,79,11
2026-06-05,CILEJIT,31,5
2026-06-05,CICAYUR,195,19
2026-06-05,CICAYUR,223,34
2026-06-05,CICAYUR,166,26
2026-06-05,CICAYUR,59,12
2026-06-05,CICAYUR,97,33
2026-06-05,CICAYUR,119,50
2026-06-05,CICAYUR,74,29
2026-06-05,CICAYUR,27,12
2026-06-04,TIGARAKSA,749,383
2026-06-04,TIGARAKSA,722,583
2026-06-04,TIGARAKSA,576,453
2026-06-04,TIGARAKSA,233,215
2026-06-04,TIGARAKSA,348,752
2026-06-04,TIGARAKSA,447,734
2026-06-04,TIGARAKSA,262,466
2026-06-04,TIGARAKSA,106,206
2026-06-04,TANAHABANG,7402,2747
2026-06-04,TANAHABANG,9454,5007
2026-06-04,TANAHABANG,6336,3627
2026-06-04,TANAHABANG,2583,1613
2026-06-04,TANAHABANG,3771,5564
2026-06-04,TANAHABANG,4406,6070
2026-06-04,TANAHABANG,2599,3783
2026-06-04,TANAHABANG,857,1254
2026-06-04,TENJO,586,269
2026-06-04,TENJO,691,396
2026-06-04,TENJO,423,307
2026-06-04,TENJO,234,140
2026-06-04,TENJO,375,462
2026-06-04,TENJO,463,600
2026-06-04,TENJO,211,360
2026-06-04,TENJO,75,130
2026-06-04,SERPONG,771,575
2026-06-04,SERPONG,980,689
2026-06-04,SERPONG,785,734
2026-06-04,SERPONG,325,282
2026-06-04,SERPONG,518,902
2026-06-04,SERPONG,582,1061
2026-06-04,SERPONG,321,616
2026-06-04,SERPONG,123,263
2026-06-04,SUDIMARA,2364,1539
2026-06-04,SUDIMARA,3473,2112
2026-06-04,SUDIMARA,1794,1644
2026-06-04,SUDIMARA,908,804
2026-06-04,SUDIMARA,1236,2781
2026-06-04,SUDIMARA,1854,2446
2026-06-04,SUDIMARA,825,1866
2026-06-04,SUDIMARA,305,720
2026-06-04,RAWA BUNTU,2825,1894
2026-06-04,RAWA BUNTU,3990,2391
2026-06-04,RAWA BUNTU,2199,2292
2026-06-04,RAWA BUNTU,1096,811
2026-06-04,RAWA BUNTU,1532,2616
2026-06-04,RAWA BUNTU,2190,3342
2026-06-04,RAWA BUNTU,1162,2157
2026-06-04,RAWA BUNTU,478,788
2026-06-04,RANGKASBITUNG,1494,527
2026-06-04,RANGKASBITUNG,1816,716
2026-06-04,RANGKASBITUNG,1096,527
2026-06-04,RANGKASBITUNG,518,240
2026-06-04,RANGKASBITUNG,886,898
2026-06-04,RANGKASBITUNG,1089,825
2026-06-04,RANGKASBITUNG,507,608
2026-06-04,RANGKASBITUNG,188,231
2026-06-04,PARUNGPANJANG,1766,1072
2026-06-04,PARUNGPANJANG,1946,1644
2026-06-04,PARUNGPANJANG,1505,1341
2026-06-04,PARUNGPANJANG,609,511
2026-06-04,PARUNGPANJANG,1036,1714
2026-06-04,PARUNGPANJANG,1257,2088
2026-06-04,PARUNGPANJANG,568,1407
2026-06-04,PARUNGPANJANG,283,512
2026-06-04,PALMERAH,4015,1906
2026-06-04,PALMERAH,4013,3009
2026-06-04,PALMERAH,3222,2228
2026-06-04,PALMERAH,1239,1015
2026-06-04,PALMERAH,1880,3432
2026-06-04,PALMERAH,2288,4013
2026-06-04,PALMERAH,1074,2360
2026-06-04,PALMERAH,545,905
2026-06-04,PONDOKRANJI,1637,781
2026-06-04,PONDOKRANJI,2066,1289
2026-06-04,PONDOKRANJI,1280,1093
2026-06-04,PONDOKRANJI,474,348
2026-06-04,PONDOKRANJI,954,1570
2026-06-04,PONDOKRANJI,886,1788
2026-06-04,PONDOKRANJI,542,1093
2026-06-04,PONDOKRANJI,205,396
2026-06-04,MAJA,669,351
2026-06-04,MAJA,621,582
2026-06-04,MAJA,510,452
2026-06-04,MAJA,184,180
2026-06-04,MAJA,358,584
2026-06-04,MAJA,381,722
2026-06-04,MAJA,219,463
2026-06-04,MAJA,88,169
2026-06-04,KEBAYORAN,3118,1645
2026-06-04,KEBAYORAN,3190,2365
2026-06-04,KEBAYORAN,2391,2006
2026-06-04,KEBAYORAN,1058,836
2026-06-04,KEBAYORAN,1435,3274
2026-06-04,KEBAYORAN,1975,2915
2026-06-04,KEBAYORAN,1029,1918
2026-06-04,KEBAYORAN,387,780
2026-06-04,JATAKE,176,91
2026-06-04,JATAKE,277,135
2026-06-04,JATAKE,178,122
2026-06-04,JATAKE,62,40
2026-06-04,JATAKE,113,151
2026-06-04,JATAKE,139,158
2026-06-04,JATAKE,73,121
2026-06-04,JATAKE,25,38
2026-06-04,JURANGMANGU,1776,773
2026-06-04,JURANGMANGU,2002,1484
2026-06-04,JURANGMANGU,1384,1047
2026-06-04,JURANGMANGU,583,423
2026-06-04,JURANGMANGU,1167,1623
2026-06-04,JURANGMANGU,1292,1891
2026-06-04,JURANGMANGU,629,960
2026-06-04,JURANGMANGU,259,503
2026-06-04,DARU,519,299
2026-06-04,DARU,631,458
2026-06-04,DARU,513,369
2026-06-04,DARU,170,131
2026-06-04,DARU,362,538
2026-06-04,DARU,360,628
2026-06-04,DARU,174,380
2026-06-04,DARU,76,155
2026-06-04,CITERAS,157,82
2026-06-04,CITERAS,187,119
2026-06-04,CITERAS,111,101
2026-06-04,CITERAS,61,46
2026-06-04,CITERAS,94,158
2026-06-04,CITERAS,94,209
2026-06-04,CITERAS,47,121
2026-06-04,CITERAS,25,42
2026-06-04,CISAUK,2166,1253
2026-06-04,CISAUK,2558,1499
2026-06-04,CISAUK,1538,1455
2026-06-04,CISAUK,563,543
2026-06-04,CISAUK,1037,2261
2026-06-04,CISAUK,1156,2333
2026-06-04,CISAUK,588,1387
2026-06-04,CISAUK,282,581
